Time,Axis1,Axis2,Axis3,VM,Active
947013180,4193,2987,2838,5879,TRUE
947013240,3525,2383,3192,5319,TRUE
947013300,3066,2596,2494,4729,TRUE
947013360,4029,3258,3418,6207,TRUE
947013420,3345,2403,3035,5116,TRUE
947013480,3361,2351,3250,5233,TRUE
947013540,4026,3254,4262,6705,TRUE
947013600,3175,1656,2382,4301,TRUE
947013660,2749,3860,2757,5482,TRUE
947013720,603,1187,886,1599,TRUE
947013780,897,1280,508,1643,TRUE
947013840,244,424,236,543,TRUE
947013900,488,1028,374,1198,TRUE
947013960,388,1178,433,1314,TRUE
947014020,492,529,183,745,TRUE
947014080,450,1118,820,1458,TRUE
947014140,296,624,442,820,TRUE
947014200,218,242,176,370,TRUE
947014260,97,191,144,258,TRUE
947014320,353,1026,1092,1539,TRUE
947014380,82,485,379,621,TRUE
947014440,324,1107,1213,1674,TRUE
947014500,345,1371,1265,1897,TRUE
947014560,130,500,561,763,TRUE
947014620,39,117,77,145,TRUE
947014680,211,1018,853,1345,TRUE
947014740,1042,1052,1631,2203,TRUE
947014800,1046,1505,1156,2167,TRUE
947014860,3303,2833,3362,5499,TRUE
947014920,1818,1006,2864,3538,TRUE
947014980,4450,3846,2741,6489,TRUE
947015040,2255,3046,1900,4239,TRUE
947015100,454,757,327,941,TRUE
947015160,1955,2003,1705,3277,TRUE
947015220,5389,3420,3954,7508,TRUE
947015280,4713,3457,3283,6704,TRUE
947015340,3679,2826,3071,5563,TRUE
947015400,4751,3470,3634,6915,TRUE
947015460,2403,2984,2211,4423,TRUE
947015520,640,613,171,903,TRUE
947015580,791,1056,627,1461,TRUE
947015640,1257,2330,1413,3001,TRUE
947015700,1314,1706,694,2262,TRUE
947015760,500,651,273,865,TRUE
947015820,319,280,131,444,TRUE
947015880,733,929,403,1250,TRUE
947015940,39,30,0,49,TRUE
947016000,34,24,11,43,TRUE
947016060,146,67,30,163,TRUE
947016120,124,19,76,147,TRUE
947016180,447,379,162,608,TRUE
947016240,284,762,197,837,TRUE
947016300,263,311,153,435,TRUE
947016360,147,360,99,401,TRUE
947016420,558,859,655,1216,TRUE
947016480,593,1020,402,1246,TRUE
947016540,392,626,346,816,TRUE
947016600,313,809,293,916,TRUE
947016660,772,1877,878,2211,TRUE
947016720,702,1615,1256,2163,TRUE
947016780,584,1330,1070,1804,TRUE
947016840,528,1518,896,1840,TRUE
947016900,1155,1947,1264,2593,TRUE
947016960,3576,3402,3501,6051,TRUE
947017020,2163,1606,2880,3944,TRUE
947017080,2035,2096,1351,3219,TRUE
947017140,1006,1230,1248,2021,TRUE
947017200,757,1142,557,1479,TRUE
947017260,710,1124,677,1492,TRUE
947017320,3038,3289,3248,5531,TRUE
947017380,4533,2987,4732,7202,TRUE
947017440,3498,2919,4550,6439,TRUE
947017500,4634,3598,3812,6996,TRUE
