Epoch,Axis1,VM
2000-01-11T12:00:00Z,3298,7196.47510295648
2000-01-11T12:01:00Z,1900,5561.43930705196
2000-01-11T12:02:00Z,2483,6118.83307718577
2000-01-11T12:03:00Z,2229,4737.72260616595
2000-01-11T12:04:00Z,3020,7435.41727478481
2000-01-11T12:05:00Z,4166,8199.63161697039
2000-01-11T12:06:00Z,4678,9355.51501759037
2000-01-11T12:07:00Z,3520,5957.78729448361
2000-01-11T12:08:00Z,3314,5982.8481596071
2000-01-11T12:09:00Z,3549,6870.16427605787
2000-01-11T12:10:00Z,3153,7474.81830160296
2000-01-11T12:11:00Z,1548,2838.74205427977
2000-01-11T12:12:00Z,3097,4744.13485227394
2000-01-11T12:13:00Z,1489,2900.93512810186
2000-01-11T12:14:00Z,331,529.252783978782
2000-01-11T12:15:00Z,0,0
2000-01-11T12:16:00Z,0,0
2000-01-11T12:17:00Z,0,0
2000-01-11T12:18:00Z,0,0
2000-01-11T12:19:00Z,0,0
2000-01-11T12:20:00Z,0,0
2000-01-11T12:21:00Z,0,0
2000-01-11T12:22:00Z,0,0
2000-01-11T12:23:00Z,0,0
2000-01-11T12:24:00Z,0,0
2000-01-11T12:25:00Z,0,0
2000-01-11T12:26:00Z,0,0
2000-01-11T12:27:00Z,0,0
2000-01-11T12:28:00Z,0,0
2000-01-11T12:29:00Z,0,0
2000-01-11T12:30:00Z,464,1040.48262466266
2000-01-11T12:31:00Z,3220,6794.21433236771
2000-01-11T12:32:00Z,2122,4270.25864097995
2000-01-11T12:33:00Z,2325,5181.58424699293
2000-01-11T12:34:00Z,2239,4688.60645885528
2000-01-11T12:35:00Z,2453,5494.77782646603
2000-01-11T12:36:00Z,1137,3043.47447208586
2000-01-11T12:37:00Z,1151,1799.00730974144
2000-01-11T12:38:00Z,1353,2914.06061360218
2000-01-11T12:39:00Z,2098,4255.23040314078
2000-01-11T12:40:00Z,3215,6166.46492536167
2000-01-11T12:41:00Z,3661,7185.63905565386
2000-01-11T12:42:00Z,2552,6457.01182529747
2000-01-11T12:43:00Z,4784,8888.88515858239
2000-01-11T12:44:00Z,3896,6086.3614497006
2000-01-11T12:45:00Z,2436,3179.41977653978
2000-01-11T12:46:00Z,1395,2189.98039938898
2000-01-11T12:47:00Z,2032,2902.8833157921
2000-01-11T12:48:00Z,2461,4346.14774679891
2000-01-11T12:49:00Z,2110,3189.80233268076
2000-01-11T12:50:00Z,2172,2790.75549287844
2000-01-11T12:51:00Z,1615,2070.75977630933
2000-01-11T12:52:00Z,573,1157.37446304753
2000-01-11T12:53:00Z,626,1577.00590697604
2000-01-11T12:54:00Z,1411,1934.72806996073
2000-01-11T12:55:00Z,1873,3305.37166176654
2000-01-11T12:56:00Z,2022,3413.35930666221
2000-01-11T12:57:00Z,1578,2409.37958120609
2000-01-11T12:58:00Z,2926,4354.30860429774
2000-01-11T12:59:00Z,5528,7347.83837383089
2000-01-11T13:00:00Z,1967,3368.84632642889
2000-01-11T13:01:00Z,965,2764.66873245772
2000-01-11T13:02:00Z,1603,3049.94866040391
