Epoch,Axis1,VM
2000-01-11T20:00:00Z,1615,3134.41330112199
2000-01-11T20:01:00Z,15,46.232432915662
2000-01-11T20:02:00Z,119,119.098705291762
2000-01-11T20:03:00Z,326,477.097631387153
2000-01-11T20:04:00Z,13,231.691519780204
2000-01-11T20:05:00Z,136,313.385985218256
2000-01-11T20:06:00Z,0,0
2000-01-11T20:07:00Z,28,35.9164728671689
2000-01-11T20:08:00Z,137,174.536238501193
2000-01-11T20:09:00Z,0,0
2000-01-11T20:10:00Z,117,132.108148690408
2000-01-11T20:11:00Z,349,706.332791575025
2000-01-11T20:12:00Z,778,1345.9050435461
2000-01-11T20:13:00Z,782,933.712655801411
2000-01-11T20:14:00Z,0,202.264022471905
2000-01-11T20:15:00Z,0,0
2000-01-11T20:16:00Z,0,0
2000-01-11T20:17:00Z,786,939.178163880115
2000-01-11T20:18:00Z,1212,1931.83294869701
2000-01-11T20:19:00Z,1234,2736.21323506588
2000-01-11T20:20:00Z,2721,5270.54823825777
2000-01-11T20:21:00Z,1204,3389.54053000984
2000-01-11T20:22:00Z,0,0
2000-01-11T20:23:00Z,0,0
2000-01-11T20:24:00Z,0,0
2000-01-11T20:25:00Z,0,0
2000-01-11T20:26:00Z,0,0
2000-01-11T20:27:00Z,0,0
2000-01-11T20:28:00Z,0,0
2000-01-11T20:29:00Z,0,0
2000-01-11T20:30:00Z,0,0
2000-01-11T20:31:00Z,0,0
2000-01-11T20:32:00Z,0,0
2000-01-11T20:33:00Z,0,0
2000-01-11T20:34:00Z,0,0
2000-01-11T20:35:00Z,0,0
2000-01-11T20:36:00Z,0,0
2000-01-11T20:37:00Z,0,0
2000-01-11T20:38:00Z,0,0
2000-01-11T20:39:00Z,0,0
2000-01-11T20:40:00Z,0,0
2000-01-11T20:41:00Z,0,0
2000-01-11T20:42:00Z,0,0
2000-01-11T20:43:00Z,0,0
2000-01-11T20:44:00Z,0,0
2000-01-11T20:45:00Z,0,0
2000-01-11T20:46:00Z,0,0
2000-01-11T20:47:00Z,0,0
2000-01-11T20:48:00Z,0,0
2000-01-11T20:49:00Z,0,0
2000-01-11T20:50:00Z,0,0
2000-01-11T20:51:00Z,0,0
2000-01-11T20:52:00Z,0,0
2000-01-11T20:53:00Z,0,0
2000-01-11T20:54:00Z,0,0
2000-01-11T20:55:00Z,0,0
2000-01-11T20:56:00Z,0,0
2000-01-11T20:57:00Z,0,0
2000-01-11T20:58:00Z,0,0
2000-01-11T20:59:00Z,0,0
2000-01-11T21:00:00Z,0,0
2000-01-11T21:01:00Z,0,0
2000-01-11T21:02:00Z,0,0
