Epoch,Axis1,VM
2000-01-11T11:00:00Z,2033,3575.9605805971
2000-01-11T11:01:00Z,1603,3331.69250634817
2000-01-11T11:02:00Z,2144,3268.32574292909
2000-01-11T11:03:00Z,153,748.957850803767
2000-01-11T11:04:00Z,54,500.316545346551
2000-01-11T11:05:00Z,2196,4424.31939359822
2000-01-11T11:06:00Z,2527,4168.97843480726
2000-01-11T11:07:00Z,999,1234.653226979
2000-01-11T11:08:00Z,2341,3665.74792451972
2000-01-11T11:09:00Z,2543,4299.40518358238
2000-01-11T11:10:00Z,2086,2557.78203982372
2000-01-11T11:11:00Z,1863,4418.8769503659
2000-01-11T11:12:00Z,2640,6456.1535103042
2000-01-11T11:13:00Z,3790,6611.56319200608
2000-01-11T11:14:00Z,3320,6940.38588839403
2000-01-11T11:15:00Z,3462,7845.4071645759
2000-01-11T11:16:00Z,1448,5206.86155305005
2000-01-11T11:17:00Z,3323,6818.81295014183
2000-01-11T11:18:00Z,2733,6225.30055125792
2000-01-11T11:19:00Z,4642,7810.63625493481
2000-01-11T11:20:00Z,5192,10677.2609324303
2000-01-11T11:21:00Z,3027,7845.15715474811
2000-01-11T11:22:00Z,4410,7802.25997190092
2000-01-11T11:23:00Z,7787,12981.5705362004
2000-01-11T11:24:00Z,3500,6857.47683872204
2000-01-11T11:25:00Z,1406,2864.79990066472
2000-01-11T11:26:00Z,1337,3617.87479147568
2000-01-11T11:27:00Z,3202,6575.91305272341
2000-01-11T11:28:00Z,329,726.159309135968
2000-01-11T11:29:00Z,401,513.69041330593
2000-01-11T11:30:00Z,591,1339.36247685732
2000-01-11T11:31:00Z,3140,6185.84454082021
2000-01-11T11:32:00Z,3638,6916.27566759569
2000-01-11T11:33:00Z,2850,5878.2391777531
2000-01-11T11:34:00Z,2974,5269.85861047523
2000-01-11T11:35:00Z,4743,6813.91853604971
2000-01-11T11:36:00Z,3393,6513.28539861914
2000-01-11T11:37:00Z,1853,3855.53385691154
2000-01-11T11:38:00Z,156,336.366271824053
2000-01-11T11:39:00Z,2206,4345.77847187434
2000-01-11T11:40:00Z,3203,6412.89003146624
2000-01-11T11:41:00Z,3863,6942.93075836276
2000-01-11T11:42:00Z,0,0
2000-01-11T11:43:00Z,0,0
2000-01-11T11:44:00Z,0,0
2000-01-11T11:45:00Z,0,0
2000-01-11T11:46:00Z,0,0
2000-01-11T11:47:00Z,0,0
2000-01-11T11:48:00Z,0,0
2000-01-11T11:49:00Z,1004,2246.00288294078
2000-01-11T11:50:00Z,2305,5320.80214935428
2000-01-11T11:51:00Z,3231,6672.15577704465
2000-01-11T11:52:00Z,3668,7272.22478333093
2000-01-11T11:53:00Z,3514,7411.10101865174
2000-01-11T11:54:00Z,5627,9214.15935409207
2000-01-11T11:55:00Z,2286,5051.36350966798
2000-01-11T11:56:00Z,2329,4461.08152853033
2000-01-11T11:57:00Z,2584,5596.03634700434
2000-01-11T11:58:00Z,2813,6571.93877598713
2000-01-11T11:59:00Z,2740,6196.00375806411
2000-01-11T12:00:00Z,3416,7162.6399971566
2000-01-11T12:01:00Z,2506,6056.06117987986
2000-01-11T12:02:00Z,994,2201.81726569253
