Epoch,Axis1,VM
2000-01-04T21:00:00Z,1941,6160.78384716833
2000-01-04T21:01:00Z,2555,5625.77788551043
2000-01-04T21:02:00Z,1667,2649.40743207067
2000-01-04T21:03:00Z,0,0
2000-01-04T21:04:00Z,0,0
2000-01-04T21:05:00Z,0,0
2000-01-04T21:06:00Z,0,0
2000-01-04T21:07:00Z,0,0
2000-01-04T21:08:00Z,0,0
2000-01-04T21:09:00Z,0,0
2000-01-04T21:10:00Z,0,0
2000-01-04T21:11:00Z,0,0
2000-01-04T21:12:00Z,0,0
2000-01-04T21:13:00Z,0,0
2000-01-04T21:14:00Z,0,0
2000-01-04T21:15:00Z,0,0
2000-01-04T21:16:00Z,0,0
2000-01-04T21:17:00Z,0,0
2000-01-04T21:18:00Z,0,0
2000-01-04T21:19:00Z,0,0
2000-01-04T21:20:00Z,0,0
2000-01-04T21:21:00Z,0,0
2000-01-04T21:22:00Z,0,0
2000-01-04T21:23:00Z,0,0
2000-01-04T21:24:00Z,0,0
2000-01-04T21:25:00Z,0,0
2000-01-04T21:26:00Z,0,0
2000-01-04T21:27:00Z,0,0
2000-01-04T21:28:00Z,0,0
2000-01-04T21:29:00Z,0,0
2000-01-04T21:30:00Z,0,0
2000-01-04T21:31:00Z,0,0
2000-01-04T21:32:00Z,0,0
2000-01-04T21:33:00Z,0,0
2000-01-04T21:34:00Z,0,0
2000-01-04T21:35:00Z,0,0
2000-01-04T21:36:00Z,0,0
2000-01-04T21:37:00Z,0,0
2000-01-04T21:38:00Z,0,0
2000-01-04T21:39:00Z,0,0
2000-01-04T21:40:00Z,0,0
2000-01-04T21:41:00Z,0,0
2000-01-04T21:42:00Z,0,0
2000-01-04T21:43:00Z,0,0
2000-01-04T21:44:00Z,0,0
2000-01-04T21:45:00Z,0,0
2000-01-04T21:46:00Z,0,0
2000-01-04T21:47:00Z,0,0
2000-01-04T21:48:00Z,0,0
2000-01-04T21:49:00Z,0,0
2000-01-04T21:50:00Z,0,0
2000-01-04T21:51:00Z,0,0
2000-01-04T21:52:00Z,0,0
2000-01-04T21:53:00Z,0,0
2000-01-04T21:54:00Z,0,0
2000-01-04T21:55:00Z,0,0
2000-01-04T21:56:00Z,0,0
2000-01-04T21:57:00Z,0,0
2000-01-04T21:58:00Z,0,0
2000-01-04T21:59:00Z,0,0
2000-01-04T22:00:00Z,0,0
2000-01-04T22:01:00Z,0,0
2000-01-04T22:02:00Z,0,0
