Epoch,Axis1,VM
2000-01-08T10:00:00Z,4302,6841.29302830501
2000-01-08T10:01:00Z,491,1446.40876986472
2000-01-08T10:02:00Z,1148,1926.03794085517
2000-01-08T10:03:00Z,318,723.514888859539
2000-01-08T10:04:00Z,0,0
2000-01-08T10:05:00Z,924,1825.48898635264
2000-01-08T10:06:00Z,2845,5522.08700567751
2000-01-08T10:07:00Z,3552,6210.57375056601
2000-01-08T10:08:00Z,5138,9096.22460131726
2000-01-08T10:09:00Z,4226,6387.48275139145
2000-01-08T10:10:00Z,1483,2143.11966277103
2000-01-08T10:11:00Z,742,1314.79580546896
2000-01-08T10:12:00Z,333,597.708451337299
2000-01-08T10:13:00Z,576,886.314621525969
2000-01-08T10:14:00Z,499,823.126157591227
2000-01-08T10:15:00Z,770,1141.9346242337
2000-01-08T10:16:00Z,1016,1696.73169899477
2000-01-08T10:17:00Z,1697,3017.53527987936
2000-01-08T10:18:00Z,271,602.636341161728
2000-01-08T10:19:00Z,998,1687.79029643515
2000-01-08T10:20:00Z,764,1160.61204017827
2000-01-08T10:21:00Z,802,1246.39561661297
2000-01-08T10:22:00Z,1373,1617.83425760991
2000-01-08T10:23:00Z,1179,1937.44370160179
2000-01-08T10:24:00Z,1938,3005.81905240841
2000-01-08T10:25:00Z,1624,4161.3272228095
2000-01-08T10:26:00Z,1364,2969.78648798364
2000-01-08T10:27:00Z,2114,5148.55682592119
2000-01-08T10:28:00Z,1952,4410.19626784107
2000-01-08T10:29:00Z,2103,5352.76098070027
2000-01-08T10:30:00Z,3370,6625.35255706067
2000-01-08T10:31:00Z,4227,8773.6538198682
2000-01-08T10:32:00Z,2857,5957.76281462758
2000-01-08T10:33:00Z,1956,5251.21286157357
2000-01-08T10:34:00Z,4366,8618.76200972838
2000-01-08T10:35:00Z,3239,7845.5721881499
2000-01-08T10:36:00Z,3956,7408.88455476524
2000-01-08T10:37:00Z,2250,5520.44353348856
2000-01-08T10:38:00Z,2640,6882.2734398522
2000-01-08T10:39:00Z,2700,6022.28941327462
2000-01-08T10:40:00Z,3450,6833.6471682488
2000-01-08T10:41:00Z,3379,6574.44142165733
2000-01-08T10:42:00Z,2415,5650.54208784832
2000-01-08T10:43:00Z,1366,3311.74260994441
2000-01-08T10:44:00Z,2770,7573.41665638622
2000-01-08T10:45:00Z,3311,7003.45355705882
2000-01-08T10:46:00Z,2544,5228.9507200536
2000-01-08T10:47:00Z,2238,5606.3459151234
2000-01-08T10:48:00Z,2999,6668.22711191516
2000-01-08T10:49:00Z,2374,6023.62818919735
2000-01-08T10:50:00Z,2866,5932.71147391687
2000-01-08T10:51:00Z,2054,5784.81198844813
2000-01-08T10:52:00Z,2673,6001.08552718648
2000-01-08T10:53:00Z,1151,3811.21426426559
2000-01-08T10:54:00Z,2486,5497.88588560172
2000-01-08T10:55:00Z,1915,4741.04552472288
2000-01-08T10:56:00Z,1768,4237.41658974579
2000-01-08T10:57:00Z,2378,5892.92838957207
2000-01-08T10:58:00Z,1937,4676.57795796924
2000-01-08T10:59:00Z,2543,5848.02927541811
2000-01-08T11:00:00Z,1330,2138.15234905637
2000-01-08T11:01:00Z,2755,5596.56022057267
2000-01-08T11:02:00Z,347,638.9456206675
