Epoch,Axis1,VM
2000-01-10T18:00:00Z,1878,4182.49834668337
2000-01-10T18:01:00Z,1546,3710.4548372727
2000-01-10T18:02:00Z,4022,6132.99712749631
2000-01-10T18:03:00Z,1887,2979.97826489329
2000-01-10T18:04:00Z,899,1506.44841952301
2000-01-10T18:05:00Z,625,1061.48767730096
2000-01-10T18:06:00Z,1387,2244.87147967748
2000-01-10T18:07:00Z,867,1831.43879767657
2000-01-10T18:08:00Z,944,2286.95862560546
2000-01-10T18:09:00Z,1502,2444.76755590544
2000-01-10T18:10:00Z,483,1119.39836208006
2000-01-10T18:11:00Z,621,1137.78921880655
2000-01-10T18:12:00Z,2221,3584.28370716643
2000-01-10T18:13:00Z,1277,1802.85391040079
2000-01-10T18:14:00Z,895,1507.94724874523
2000-01-10T18:15:00Z,442,814.386638849158
2000-01-10T18:16:00Z,213,511.583587748976
2000-01-10T18:17:00Z,831,1299.34782189494
2000-01-10T18:18:00Z,1062,1879.74976559065
2000-01-10T18:19:00Z,1205,1762.78568446857
2000-01-10T18:20:00Z,2667,4225.70086977941
2000-01-10T18:21:00Z,3592,6908.56727192602
2000-01-10T18:22:00Z,3202,5987.74041496899
2000-01-10T18:23:00Z,4025,6745.31672450296
2000-01-10T18:24:00Z,3576,7754.55543660318
2000-01-10T18:25:00Z,2702,6181.20364440354
2000-01-10T18:26:00Z,3025,5818.15309130838
2000-01-10T18:27:00Z,2935,5742.62651634322
2000-01-10T18:28:00Z,2348,5244.06953574581
2000-01-10T18:29:00Z,2686,6214.06233654394
2000-01-10T18:30:00Z,3784,6207.21545496249
2000-01-10T18:31:00Z,3932,7478.53003320511
2000-01-10T18:32:00Z,775,1588.32065534094
2000-01-10T18:33:00Z,3124,5445.5901263287
2000-01-10T18:34:00Z,1924,4817.76269505951
2000-01-10T18:35:00Z,2219,4182.83100069411
2000-01-10T18:36:00Z,2263,3973.82248056519
2000-01-10T18:37:00Z,1187,2450.67756291885
2000-01-10T18:38:00Z,1543,3787.21991298689
2000-01-10T18:39:00Z,1609,4803.41290714331
2000-01-10T18:40:00Z,337,2527.56789940513
2000-01-10T18:41:00Z,2181,5305.34700847752
2000-01-10T18:42:00Z,3374,6512.06009277432
2000-01-10T18:43:00Z,2012,4522.74461823171
2000-01-10T18:44:00Z,1768,3462.52145193271
2000-01-10T18:45:00Z,0,4
2000-01-10T18:46:00Z,0,0
2000-01-10T18:47:00Z,0,0
2000-01-10T18:48:00Z,0,0
2000-01-10T18:49:00Z,0,0
2000-01-10T18:50:00Z,0,0
2000-01-10T18:51:00Z,0,0
2000-01-10T18:52:00Z,0,0
2000-01-10T18:53:00Z,0,0
2000-01-10T18:54:00Z,0,0
2000-01-10T18:55:00Z,0,0
2000-01-10T18:56:00Z,0,0
2000-01-10T18:57:00Z,0,0
2000-01-10T18:58:00Z,0,33
2000-01-10T18:59:00Z,0,0
2000-01-10T19:00:00Z,0,0
2000-01-10T19:01:00Z,0,0
2000-01-10T19:02:00Z,0,0
