Epoch,Axis1,VM
2000-01-06T17:00:00Z,0,90
2000-01-06T17:01:00Z,0,0
2000-01-06T17:02:00Z,0,0
2000-01-06T17:03:00Z,0,0
2000-01-06T17:04:00Z,0,0
2000-01-06T17:05:00Z,0,0
2000-01-06T17:06:00Z,0,0
2000-01-06T17:07:00Z,0,0
2000-01-06T17:08:00Z,0,0
2000-01-06T17:09:00Z,0,0
2000-01-06T17:10:00Z,0,58
2000-01-06T17:11:00Z,0,37
2000-01-06T17:12:00Z,0,763
2000-01-06T17:13:00Z,0,1371
2000-01-06T17:14:00Z,0,2638
2000-01-06T17:15:00Z,0,2822
2000-01-06T17:16:00Z,0,2932
2000-01-06T17:17:00Z,0,2850
2000-01-06T17:18:00Z,0,1883
2000-01-06T17:19:00Z,0,1418
2000-01-06T17:20:00Z,0,1397
2000-01-06T17:21:00Z,0,412
2000-01-06T17:22:00Z,0,936
2000-01-06T17:23:00Z,0,1019
2000-01-06T17:24:00Z,0,569
2000-01-06T17:25:00Z,0,1240
2000-01-06T17:26:00Z,0,2217
2000-01-06T17:27:00Z,0,2106
2000-01-06T17:28:00Z,0,1300
2000-01-06T17:29:00Z,0,1695
2000-01-06T17:30:00Z,0,1600
2000-01-06T17:31:00Z,0,1743
2000-01-06T17:32:00Z,0,1635
2000-01-06T17:33:00Z,1391,3408.86252233289
2000-01-06T17:34:00Z,72,408.291439046539
2000-01-06T17:35:00Z,0,0
2000-01-06T17:36:00Z,0,0
2000-01-06T17:37:00Z,0,0
2000-01-06T17:38:00Z,0,0
2000-01-06T17:39:00Z,0,0
2000-01-06T17:40:00Z,0,0
2000-01-06T17:41:00Z,0,0
2000-01-06T17:42:00Z,0,0
2000-01-06T17:43:00Z,0,0
2000-01-06T17:44:00Z,0,0
2000-01-06T17:45:00Z,0,0
2000-01-06T17:46:00Z,0,0
2000-01-06T17:47:00Z,0,0
2000-01-06T17:48:00Z,0,0
2000-01-06T17:49:00Z,0,0
2000-01-06T17:50:00Z,0,0
2000-01-06T17:51:00Z,804,1813.72213408375
2000-01-06T17:52:00Z,899,2420.33848084187
2000-01-06T17:53:00Z,3223,5308.59617997812
2000-01-06T17:54:00Z,830,1761.59833101575
2000-01-06T17:55:00Z,455,1753.32374101279
2000-01-06T17:56:00Z,646,1484.51684949362
2000-01-06T17:57:00Z,137,419.935778146525
2000-01-06T17:58:00Z,490,1203.18577831028
2000-01-06T17:59:00Z,536,1046.37372980534
2000-01-06T18:00:00Z,489,894.139474974777
2000-01-06T18:01:00Z,978,1725.56232368197
2000-01-06T18:02:00Z,293,759.296193043947
