Epoch,Axis1,VM
2000-01-10T11:00:00Z,1843,5576.50214940476
2000-01-10T11:01:00Z,4583,6491.97102480832
2000-01-10T11:02:00Z,1520,2697.13372032594
2000-01-10T11:03:00Z,1215,1705.5505926666
2000-01-10T11:04:00Z,1176,1607.2514820095
2000-01-10T11:05:00Z,793,1109.66913531383
2000-01-10T11:06:00Z,901,1228.36858634947
2000-01-10T11:07:00Z,764,1148.90633439848
2000-01-10T11:08:00Z,2123,2736.23295962091
2000-01-10T11:09:00Z,2160,3473.65301983708
2000-01-10T11:10:00Z,3023,4375.20220466436
2000-01-10T11:11:00Z,1900,3039.56249326343
2000-01-10T11:12:00Z,1062,1911.51619729574
2000-01-10T11:13:00Z,212,307.203600315733
2000-01-10T11:14:00Z,883,1546.10415274628
2000-01-10T11:15:00Z,123,444.835714022655
2000-01-10T11:16:00Z,968,1806.62079447151
2000-01-10T11:17:00Z,73,114.428962427887
2000-01-10T11:18:00Z,263,389.207789279992
2000-01-10T11:19:00Z,2363,4248.07246320814
2000-01-10T11:20:00Z,1295,2249.25626200733
2000-01-10T11:21:00Z,1455,1991.40865705411
2000-01-10T11:22:00Z,4176,5858.79033445064
2000-01-10T11:23:00Z,3258,6880.77871973414
2000-01-10T11:24:00Z,1628,2825.51539417212
2000-01-10T11:25:00Z,1312,2762.78626606935
2000-01-10T11:26:00Z,667,1586.85279341018
2000-01-10T11:27:00Z,366,572.933977600015
2000-01-10T11:28:00Z,178,265.318401588401
2000-01-10T11:29:00Z,414,497.365605933837
2000-01-10T11:30:00Z,543,1253.53772098731
2000-01-10T11:31:00Z,706,6376.40714766565
2000-01-10T11:32:00Z,795,4871.31026078497
2000-01-10T11:33:00Z,2962,5557.04401132742
2000-01-10T11:34:00Z,4715,8498.43152859265
2000-01-10T11:35:00Z,4984,10778.4063608491
2000-01-10T11:36:00Z,2722,5983.96730867389
2000-01-10T11:37:00Z,808,2115.18603956661
2000-01-10T11:38:00Z,3159,7630.29896526301
2000-01-10T11:39:00Z,308,829.242802499637
2000-01-10T11:40:00Z,589,1416.4338047963
2000-01-10T11:41:00Z,1667,3168.89585965875
2000-01-10T11:42:00Z,626,1221.90447193226
2000-01-10T11:43:00Z,947,2367.09156488024
2000-01-10T11:44:00Z,164,214.66206904955
2000-01-10T11:45:00Z,201,250.016700376708
2000-01-10T11:46:00Z,605,1294.85972890718
2000-01-10T11:47:00Z,1167,2409.73137919928
2000-01-10T11:48:00Z,757,1190.01235967611
2000-01-10T11:49:00Z,1248,2258.27750229398
2000-01-10T11:50:00Z,1616,3029.71371569884
2000-01-10T11:51:00Z,2091,3813.99495351406
2000-01-10T11:52:00Z,844,1876.74352603753
2000-01-10T11:53:00Z,166,432.678564148444
2000-01-10T11:54:00Z,397,792.309232401644
2000-01-10T11:55:00Z,1403,2295.25075005039
2000-01-10T11:56:00Z,2398,4854.67273829181
2000-01-10T11:57:00Z,2332,6064.08146084684
2000-01-10T11:58:00Z,1674,4189.66994025115
2000-01-10T11:59:00Z,3497,7879.35880624723
2000-01-10T12:00:00Z,4145,7774.37621158259
2000-01-10T12:01:00Z,2602,4664.55417956661
2000-01-10T12:02:00Z,519,1183.95687909734
